,correlation,,std,mean,high,low
0,0.73774,,0.077882422,0.687699341,0.848508,0.487942
1,0.614624,,,,,
2,0.671434,,,,,
3,0.586103,,,,,
4,0.737505,,,,,
5,0.697677,,,,,
6,0.615099,,,,,
7,0.739203,,,,,
8,0.680009,,,,,
9,0.759689,,,,,
10,0.750783,,,,,
11,0.629027,,,,,
12,0.73846,,,,,
13,0.756144,,,,,
14,0.574357,,,,,
15,0.767712,,,,,
16,0.719257,,,,,
17,0.775858,,,,,
18,0.681025,,,,,
19,0.73268,,,,,
20,0.690952,,,,,
21,0.748242,,,,,
22,0.765504,,,,,
23,0.67183,,,,,
24,0.736547,,,,,
25,0.722894,,,,,
26,0.54031,,,,,
27,0.73145,,,,,
28,0.647662,,,,,
29,0.848508,,,,,
30,0.699414,,,,,
31,0.716762,,,,,
32,0.739743,,,,,
33,0.731459,,,,,
34,0.703413,,,,,
35,0.683364,,,,,
36,0.730364,,,,,
37,0.706927,,,,,
38,0.629587,,,,,
39,0.686507,,,,,
40,0.633611,,,,,
41,0.777401,,,,,
42,0.697332,,,,,
43,0.636381,,,,,
44,0.487942,,,,,
45,0.680218,,,,,
46,0.775392,,,,,
47,0.685392,,,,,
48,0.745227,,,,,
49,0.538315,,,,,
50,0.643269,,,,,
51,0.722225,,,,,
52,0.706141,,,,,
53,0.698756,,,,,
54,0.639258,,,,,
55,0.635494,,,,,
56,0.794403,,,,,
57,0.544083,,,,,
58,0.711522,,,,,
59,0.789871,,,,,
60,0.736305,,,,,
61,0.684468,,,,,
62,0.748053,,,,,
63,0.788008,,,,,
64,0.752698,,,,,
65,0.676192,,,,,
66,0.696465,,,,,
67,0.742562,,,,,
68,0.592267,,,,,
69,0.660043,,,,,
70,0.749319,,,,,
71,0.693293,,,,,
72,0.676637,,,,,
73,0.66163,,,,,
74,0.777324,,,,,
75,0.628848,,,,,
76,0.690855,,,,,
77,0.492496,,,,,
78,0.693473,,,,,
79,0.603524,,,,,
80,0.725651,,,,,
81,0.691525,,,,,
82,0.780874,,,,,
83,0.691005,,,,,
84,0.691064,,,,,
85,0.592755,,,,,
86,0.823021,,,,,
87,0.720962,,,,,
88,0.794495,,,,,
89,0.634325,,,,,
90,0.772333,,,,,
91,0.771635,,,,,
92,0.623648,,,,,
93,0.558632,,,,,
94,0.646255,,,,,
95,0.658584,,,,,
96,0.622289,,,,,
97,0.785379,,,,,
98,0.7174,,,,,
99,0.536493,,,,,
